Geo,Year,SFDU,MFDU,GQDU
2141,2019,115,625,1
2142,2019,671,1849,1
2143,2019,30,971,1
2144,2019,282,2102,1
2145,2019,358,1669,1
2146,2019,301,1566,1
2147,2019,213,1716,1
2148,2019,150,801,1
2149,2019,16,258,1
2150,2019,557,2016,1
2151,2019,3,90,1
2152,2019,10,310,1
2153,2019,6,186,1
2154,2019,10,332,1
2155,2019,19,456,1
2156,2019,7,384,1
2157,2019,6,311,1
2158,2019,18,556,1
2159,2019,9,146,1
1611,2045,276,583,2
1612,2045,308,652,2
1613,2045,130,267,2
1614,2045,234,195,2
1615,2045,24,365,2
1616,2045,8,169,2
1617,2045,23,351,2
1618,2045,607,4060,2
1619,2045,15,227,2
1620,2045,9,150,2
1621,2045,6,307,2
1622,2045,16,250,2
1623,2045,9,485,2
1624,2045,5,268,2
1625,2045,9,530,2
1626,2045,14,522,2
1627,2045,31,610,2
1628.01,2045,30,62,2851
1628.02,2045,17,36,2851
1628.03,2045,81,164,2851
1629,2045,96,199,2
1630.01,2045,43,364,2
1630.02,2045,79,668,2
1631,2045,65,507,2
1632.01,2045,68,107,2
1632.02,2045,160,252,2
1632.03,2045,291,454,2
1632.04,2045,89,140,2
1633,2045,15,31,2
1634,2045,268,424,2
1635,2045,271,965,2
1636,2045,120,1027,2
1637,2045,1319,152,2
1638.01,2045,1032,115,2
1638.02,2045,457,220,2
1639.01,2045,86,116,2
1639.02,2045,387,544,2
1640,2045,323,454,2
1641,2045,304,438,2
1642,2045,1148,406,2
1643,2045,600,1335,2
1644,2045,70,610,2
1645,2045,640,222,2
1646,2045,504,669,2
1647.01,2045,621,218,2
1647.02,2045,686,247,2
1648,2045,80,340,2
1649,2045,459,385,2
1650,2045,460,610,2
1651,2045,43,317,2
1652.01,2045,445,315,2
1652.02,2045,896,614,2
1653,2045,102,874,2
1654.01,2045,28,202,2
1654.02,2045,56,415,2
1655,2045,628,1657,2
1656,2045,971,1333,2
1657,2045,534,712,2
1658,2045,123,311,2
1659,2045,30,1176,2
1660,2045,190,203,2
1661,2045,26,960,2
1662.01,2045,85,171,2
1662.02,2045,170,340,2
1662.03,2045,155,315,2
1663,2045,358,1124,2
1664,2045,135,703,2
1665.01,2045,882,1798,2
1665.02,2045,115,523,2
1666,2045,100,860,2
1667,2045,77,666,2
1668,2045,80,695,2
1669,2045,42,803,2
1670,2045,44,838,2
1671,2045,239,1346,2
1672.01,2045,54,279,2
1672.02,2045,126,629,2
1673.01,2045,92,32,2
1673.02,2045,211,77,2
1673.03,2045,331,111,2
1674,2045,152,1482,2
1675.01,2045,452,151,2
1675.02,2045,1002,339,2
1676.01,2045,308,103,2
1676.02,2045,343,114,2
1676.03,2045,187,62,2
1677,2045,0,0,2
1678,2045,57,97,2
1679,2045,58,99,2
1680,2045,4,7,2
1681,2045,52,80,2
1682.01,2045,22,37,2
1682.02,2045,16,28,2
1683,2045,74,126,2
1684,2045,59,100,2
1685,2045,32,55,2
1686,2045,227,388,2
1687,2045,11,544,2
1688.01,2045,22,38,2
1688.02,2045,47,81,2
1688.03,2045,23,39,2
1689.01,2045,16,28,2
1689.02,2045,27,45,2
1689.03,2045,25,43,2
1690.01,2045,27,47,2
1690.02,2045,24,42,2
1691,2045,444,856,2
1692,2045,136,288,2
1693,2045,158,339,2
1694,2045,381,778,2
1695,2045,898,1891,2
1696,2045,919,16,2
1697,2045,1503,1630,2
1698,2045,29,62,2
1699,2045,602,2517,2
1700,2045,28,663,2
1701,2045,23,530,2
1702,2045,15,197,2
1703,2045,157,53,2
1704.01,2045,96,32,2
1704.02,2045,77,26,2
1704.03,2045,1266,413,2
1705,2045,654,625,2
1706,2045,672,1457,2
1707,2045,152,1713,2
1708,2045,15,478,2
1709,2045,19,309,2
1710,2045,18,312,2
1711,2045,12,351,2
1712,2045,27,456,2
1713,2045,27,442,2
1714,2045,30,495,2
1715,2045,20,666,2
1716,2045,7,166,2
1717,2045,65,1283,2
1718,2045,17,426,2
1719,2045,37,903,2
1720,2045,134,182,2
1721,2045,237,322,2
1722,2045,121,175,2
1723,2045,199,272,2
1724,2045,299,702,2
1725.01,2045,178,247,2
1725.02,2045,103,143,2
1726.01,2045,159,250,2
1726.02,2045,41,71,2
1727,2045,275,1117,2
1728.01,2045,604,453,2
1728.02,2045,1617,1310,2
1729.01,2045,182,756,2
1729.02,2045,155,637,2
1730.01,2045,429,322,2
1730.02,2045,341,277,2
1731.01,2045,302,257,2
1731.02,2045,304,258,2
1731.03,2045,778,652,2
1732,2045,2143,1876,2
1733,2045,638,1319,2
1734,2045,1012,1497,2
1735,2045,54,1154,2
1736,2045,350,1174,2
1737,2045,362,591,2
1738,2045,230,350,2
1739.01,2045,217,182,2
1739.02,2045,111,93,2
1739.03,2045,1236,1043,2
1740,2045,849,876,2
1741.01,2045,408,347,2
1741.02,2045,968,819,2
1741.03,2045,159,136,2
1742.01,2045,467,701,2
1742.02,2045,583,841,2
1743,2045,157,228,2
1744.01,2045,31,215,2
1744.02,2045,246,1660,2
1745,2045,58,253,2
1746,2045,507,348,2
1747,2045,811,678,2
1748,2045,701,675,2
1749,2045,699,235,2
1750.01,2045,274,84,2
1750.02,2045,891,291,2
1750.03,2045,259,79,2
1751,2045,1152,312,2
1752.01,2045,1369,903,2
1752.02,2045,819,333,2
1753.01,2045,397,130,2
1753.02,2045,684,230,2
1753.03,2045,185,61,2
1754.01,2045,71,24,2
1754.02,2045,159,52,2
1754.03,2045,396,132,2
1755,2045,1742,585,2
1756,2045,382,129,2
1757,2045,79,730,2
1758,2045,64,629,2
1759,2045,52,757,2
1760,2045,92,883,2
1761,2045,548,801,2
1762,2045,64,934,2
1763,2045,35,742,2
1764,2045,34,738,2
1765,2045,13,571,2
1766,2045,22,819,2
1767,2045,748,1675,2
1768,2045,1137,1250,2
1769,2045,527,1691,2
1770.01,2045,0,487,2
1770.02,2045,0,85,2
1771,2045,226,657,2
1772,2045,301,1161,2
1773,2045,0,66,2
1774,2045,1,337,2
1775,2045,21,522,2
1776,2045,5,66,2
1777,2045,9,360,2
1778,2045,164,918,2
1779,2045,254,1413,2
1780,2045,13,579,2
1781,2045,5,221,2
1782,2045,8,381,2
1783,2045,27,546,2
1784,2045,253,354,2
1785,2045,149,222,2
1786,2045,230,342,2
1787,2045,172,259,2
1788,2045,32,598,2
1789,2045,127,477,2
1790,2045,512,913,2
1791,2045,168,407,2
1792,2045,61,326,2
1793.01,2045,57,353,2
1793.02,2045,24,146,2
1794,2045,365,9,2
1795,2045,284,422,2
1796.01,2045,318,487,2
1796.02,2045,79,122,2
1796.03,2045,437,287,2
1797.01,2045,213,328,2
1797.02,2045,11,16,2
1797.03,2045,145,225,2
1798.01,2045,58,366,2
1798.02,2045,62,394,2
1798.03,2045,82,506,2
1798.04,2045,52,299,2
1799,2045,73,625,2
1800.01,2045,106,161,2
1800.02,2045,265,411,2
1800.03,2045,62,94,2
1800.04,2045,211,318,2
1800.05,2045,378,569,2
1800.06,2045,95,143,2
1801,2045,12,67,2
1802,2045,599,692,2
1803,2045,195,226,2
1804,2045,909,1057,2
1805,2045,280,1148,2
1806,2045,107,409,2
1807,2045,381,875,2
1808,2045,602,704,2
1809,2045,168,194,2
1810,2045,1055,965,2
1811,2045,253,551,2
1812,2045,276,253,2
1813,2045,75,68,2
1814.01,2045,310,77,2
1814.02,2045,206,82,2
1815,2045,196,219,2
1816,2045,119,807,2
1817.01,2045,2642,650,2
1817.02,2045,144,35,2
1817.03,2045,338,83,2
1818,2045,136,245,2
1819,2045,137,246,2
1820,2045,177,456,2
1821,2045,159,956,2
1822,2045,86,556,2
1823,2045,165,1272,2
1824,2045,148,753,2
1825,2045,33,318,2
1826,2045,142,554,2
1827,2045,45,733,2
1828,2045,22,590,2
1829,2045,7,169,2
1830,2045,54,468,2
1831,2045,434,588,2
1832.01,2045,200,272,2
1832.02,2045,187,251,2
1832.03,2045,922,1248,2
1833.01,2045,10,274,2
1833.02,2045,746,995,2
