Geo,Year,D4c
2135,2019,27.66693
2136,2019,49.51707
2137,2019,39.88589
2138,2019,62.83172
2139,2019,18.33963
2140,2019,52.61592
2141,2019,27.20899
2142,2019,51.72938
2143,2019,27.19894
2144,2019,87.83137
2145,2019,61.50497
2146,2019,85.67761
2147,2019,21.87228
2148,2019,37.75138
2149,2019,1.04988
2150,2019,35.77793
2151,2019,13.19288
2152,2019,0.0035
2153,2019,0.00001
2154,2019,0.00046
2155,2019,1.40707
2156,2019,0.00002
2157,2019,0
2158,2019,0
2159,2019,0
1611,2045,0.81357
1612,2045,0.01461
1613,2045,8.58204
1614,2045,17.7391
1615,2045,0
1616,2045,0.0047
1617,2045,1.96747
1618,2045,3.0468
1619,2045,3.33278
1620,2045,3.33243
1621,2045,0.00175
1622,2045,2.89173
1623,2045,12.58609
1624,2045,4.3771
1625,2045,4.33678
1626,2045,0.08518
1627,2045,18.88204
1628.01,2045,45.97968
1628.02,2045,46.33378
1628.03,2045,46.30998
1629,2045,15.7897
1630.01,2045,14.35894
1630.02,2045,52.4478
1631,2045,56.03521
1632.01,2045,46.93327
1632.02,2045,37.51382
1632.03,2045,22.73625
1632.04,2045,16.09216
1633,2045,30.17843
1634,2045,16.33138
1635,2045,6.44998
1636,2045,7.24461
1637,2045,32.62408
1638.01,2045,26.27275
1638.02,2045,19.92757
1639.01,2045,13.62316
1639.02,2045,11.0695
1640,2045,20.5971
1641,2045,20.08962
1642,2045,25.90884
1643,2045,10.21552
1644,2045,31.89499
1645,2045,24.78619
1646,2045,17.38903
1647.01,2045,21.36108
1647.02,2045,33.17996
1648,2045,8.94946
1649,2045,11.67023
1650,2045,14.64876
1651,2045,21.64628
1652.01,2045,8.73209
1652.02,2045,14.47954
1653,2045,1.38089
1654.01,2045,21.62816
1654.02,2045,21.5161
1655,2045,15.60612
1656,2045,15.59591
1657,2045,18.33393
1658,2045,10.01365
1659,2045,28.97348
1660,2045,13.246
1661,2045,20.08609
1662.01,2045,15.15728
1662.02,2045,14.88025
1662.03,2045,13.37869
1663,2045,16.94686
1664,2045,78.87973
1665.01,2045,43.73344
1665.02,2045,11.3467
1666,2045,87.8622
1667,2045,26.35717
1668,2045,76.00872
1669,2045,63.35957
1670,2045,1.888
1671,2045,13.08918
1672.01,2045,28.17473
1672.02,2045,28.34496
1673.01,2045,32.71957
1673.02,2045,61.19613
1673.03,2045,62.01249
1674,2045,25.42423
1675.01,2045,60.38102
1675.02,2045,58.46624
1676.01,2045,58.96131
1676.02,2045,58.90311
1676.03,2045,62.20918
1677,2045,24.63321
1678,2045,16.34874
1679,2045,16.45123
1680,2045,24.45356
1681,2045,50.4669
1682.01,2045,19.22019
1682.02,2045,49.39458
1683,2045,16.33357
1684,2045,15.5763
1685,2045,0.6282
1686,2045,0.08307
1687,2045,0.00333
1688.01,2045,13.2464
1688.02,2045,50.29754
1688.03,2045,50.32651
1689.01,2045,16.44846
1689.02,2045,50.27443
1689.03,2045,50.33272
1690.01,2045,50.30844
1690.02,2045,49.9564
1691,2045,37.62463
1692,2045,24.59422
1693,2045,24.5833
1694,2045,21.99547
1695,2045,21.77592
1696,2045,18.57698
1697,2045,18.79164
1698,2045,9.29997
1699,2045,10.46878
1700,2045,0.06519
1701,2045,0.00003
1702,2045,0
1703,2045,18.387
1704.01,2045,67.20629
1704.02,2045,71.84742
1704.03,2045,63.84486
1705,2045,5.37238
1706,2045,34.57894
1707,2045,16.05877
1708,2045,15.49022
1709,2045,3.00204
1710,2045,2.99706
1711,2045,0.00767
1712,2045,0.00043
1713,2045,0.00005
1714,2045,0.00256
1715,2045,7.60983
1716,2045,1.76415
1717,2045,22.05727
1718,2045,1.48752
1719,2045,6.00116
1720,2045,10.46471
1721,2045,10.14112
1722,2045,12.10014
1723,2045,78.20638
1724,2045,66.12459
1725.01,2045,79.51321
1725.02,2045,78.66667
1726.01,2045,77.0997
1726.02,2045,76.01342
1727,2045,135.66667
1728.01,2045,137.33333
1728.02,2045,137.00889
1729.01,2045,139.6504
1729.02,2045,151.66667
1730.01,2045,107.06965
1730.02,2045,156.78355
1731.01,2045,152.39119
1731.02,2045,152.86571
1731.03,2045,151.56625
1732,2045,80.78742
1733,2045,53.85842
1734,2045,22.84105
1735,2045,23.31426
1736,2045,43.19917
1737,2045,49.1203
1738,2045,25.06181
1739.01,2045,152.67631
1739.02,2045,137.19049
1739.03,2045,141.03654
1740,2045,197.13381
1741.01,2045,152.67281
1741.02,2045,151.61153
1741.03,2045,150.63247
1742.01,2045,149.36098
1742.02,2045,161.35299
1743,2045,133.29137
1744.01,2045,179.80466
1744.02,2045,158.30346
1745,2045,155.53376
1746,2045,62.05898
1747,2045,91.63659
1748,2045,24.76696
1749,2045,62.37227
1750.01,2045,97.96286
1750.02,2045,104.85287
1750.03,2045,111.50294
1751,2045,55.08732
1752.01,2045,47.70936
1752.02,2045,17.88219
1753.01,2045,70.33333
1753.02,2045,76.33333
1753.03,2045,70.16761
1754.01,2045,16.52742
1754.02,2045,23.68606
1754.03,2045,23.65176
1755,2045,18.74368
1756,2045,62.32609
1757,2045,33.98592
1758,2045,22.71677
1759,2045,17.52588
1760,2045,7.38588
1761,2045,112.12853
1762,2045,26.23339
1763,2045,18.73972
1764,2045,1.34983
1765,2045,0.0114
1766,2045,20.98095
1767,2045,78.72344
1768,2045,116.56861
1769,2045,93.95965
1770.01,2045,56.05118
1770.02,2045,55.66667
1771,2045,41.89437
1772,2045,45.95711
1773,2045,55.66667
1774,2045,55.29381
1775,2045,0.22982
1776,2045,2.17596
1777,2045,0.02916
1778,2045,5.38205
1779,2045,60.54959
1780,2045,11.37185
1781,2045,0.27962
1782,2045,0.15151
1783,2045,0.0329
1784,2045,58.73941
1785,2045,27.91899
1786,2045,24.30324
1787,2045,24.3457
1788,2045,88.28472
1789,2045,52.74028
1790,2045,34.6632
1791,2045,22.66834
1792,2045,25.52595
1793.01,2045,21.69124
1793.02,2045,21.65982
1794,2045,14.39807
1795,2045,32.79306
1796.01,2045,29.01371
1796.02,2045,17.8933
1796.03,2045,19.99088
1797.01,2045,31.33333
1797.02,2045,31.33723
1797.03,2045,29.46804
1798.01,2045,26.61804
1798.02,2045,26.70661
1798.03,2045,26.66312
1798.04,2045,26.64758
1799,2045,13.49696
1800.01,2045,28.70699
1800.02,2045,11.99767
1800.03,2045,29.98934
1800.04,2045,35.35692
1800.05,2045,34.9756
1800.06,2045,30.22121
1801,2045,25.63859
1802,2045,26.9576
1803,2045,81.33635
1804,2045,88.37327
1805,2045,52.97067
1806,2045,89.27189
1807,2045,23.41734
1808,2045,35.36076
1809,2045,73.89905
1810,2045,71.71905
1811,2045,43.0191
1812,2045,57.50259
1813,2045,57.75986
1814.01,2045,115.17829
1814.02,2045,86.1961
1815,2045,23.10579
1816,2045,84.68161
1817.01,2045,120.66667
1817.02,2045,118.44166
1817.03,2045,124.66667
1818,2045,97.67064
1819,2045,54.70313
1820,2045,76.40767
1821,2045,44.71988
1822,2045,208.76084
1823,2045,45.97318
1824,2045,168.85705
1825,2045,124.16656
1826,2045,3.97099
1827,2045,4.2168
1828,2045,0.47615
1829,2045,0.00871
1830,2045,6.58756
1831,2045,28.222
1832.01,2045,105.83208
1832.02,2045,100.76702
1832.03,2045,30.5503
1833.01,2045,140
1833.02,2045,115.04234
1833.03,2045,114.49906
1834,2045,113.81994
1835,2045,119.99919
1836,2045,81.56897
1837,2045,116.99991
1838.01,2045,118.20113
1838.02,2045,117.50252
1839,2045,238.26639
1840,2045,118.39681
1841.01,2045,241.97465
1841.02,2045,239.61378
1841.03,2045,242.229
1841.04,2045,211.84594
1842.01,2045,244.33333
1842.02,2045,244.33333
1843.01,2045,244.22776
1843.02,2045,262.33333
1844,2045,260.33333
1845.01,2045,241.8705
1845.02,2045,239.3803
1845.03,2045,242.33333
1846.01,2045,238.97754
1846.02,2045,242.33333
1847.01,2045,142.28207
1847.02,2045,142.11595
1848.01,2045,84.92308
1848.02,2045,108.01562
1849.01,2045,125.00077
1849.02,2045,136.45349
1850,2045,99.01433
1851.01,2045,152.18583
1851.02,2045,234.83323
1852.01,2045,159.7784
1852.02,2045,163.19777
