Geo,Year,D3bpo4
1801,2045,3.757145
1802,2045,25.263627
1803,2045,9.153424
1804,2045,8.624162
1805,2045,20.450673
1806,2045,18.850553
1807,2045,10.647563
1808,2045,8.926677
1809,2045,11.935256
1810,2045,18.824884
1811,2045,3.16472
1812,2045,10.322565
1813,2045,10.440151
1814.01,2045,4.821063
1814.02,2045,10.767343
1815,2045,24.859387
1816,2045,9.371886
1817.01,2045,4
1817.02,2045,4.034796
1817.03,2045,4
1818,2045,9.130972
1819,2045,12.720307
1820,2045,10.349499
1821,2045,18.983712
1822,2045,9.90339
1823,2045,18.861664
1824,2045,19.182359
1825,2045,9.590534
1826,2045,2.844009
1827,2045,10.50027
1828,2045,2.335481
1829,2045,2.337721
1830,2045,9.362132
1831,2045,5.7176
1832.01,2045,4.640639
1832.02,2045,6.210075
1832.03,2045,6.283066
1833.01,2045,1.211984
1833.02,2045,1.178379
1833.03,2045,1.190637
1834,2045,1.22336
1835,2045,1.212354
1836,2045,5.083603
1837,2045,3.399936
1838.01,2045,3.238797
1838.02,2045,3.415513
1839,2045,7.144415
1840,2045,3.443129
1841.01,2045,7.258924
1841.02,2045,7.185995
1841.03,2045,7.266778
1841.04,2045,6.328622
1842.01,2045,7.27
1842.02,2045,7.27
1843.01,2045,7.204985
1843.02,2045,7.27
1844,2045,7.27
1845.01,2045,7.236348
1845.02,2045,7.055312
1845.03,2045,7.27
1846.01,2045,7.027016
1846.02,2045,7.27
1847.01,2045,0.002532
1847.02,2045,0.020705
1848.01,2045,12.615258
1848.02,2045,4.49746
1849.01,2045,5.737444
1849.02,2045,5.307752
1850,2045,16.092606
1851.01,2045,8.591408
1851.02,2045,8.686359
1852.01,2045,8.544749
1852.02,2045,9.481716
1853.01,2045,8.302639
1853.02,2045,8.231741
1854.01,2045,8.317864
1854.02,2045,8.583506
1855,2045,7.27012
1856,2045,26.403128
1857,2045,26.566732
1858,2045,6.847361
1859,2045,6.88128
1860,2045,20.154627
1861,2045,10.160926
1862,2045,23.81861
1863,2045,10.201675
1864,2045,14.025824
1865.01,2045,12.175718
1865.02,2045,12.693556
1865.03,2045,14.030769
1865.04,2045,14.030769
1866.01,2045,22.060084
1866.02,2045,65.54603
1866.03,2045,1.754978
1867.01,2045,1.145808
1867.02,2045,0
1868.01,2045,3.400218
1868.02,2045,3.360424
1868.03,2045,3.423955
1869.01,2045,0.0723
1869.02,2045,0.48708
1870,2045,0.183137
1871,2045,2.96906
1872,2045,1.7911
1873,2045,26.295761
1874,2045,20.729671
1875,2045,7.924398
1876,2045,13.583261
1877,2045,3.068404
1878,2045,13.238424
1879,2045,18.627904
1880,2045,3.558339
1881,2045,10.775158
1882,2045,0.796967
1883,2045,6.600095
1884,2045,3.22551
1885,2045,0.00849
1886,2045,1.099688
1887,2045,0.027859
1888,2045,1.208346
1889,2045,1.250206
1890,2045,1.025596
1891,2045,6.076423
1892,2045,3.462481
1893,2045,0.988734
1894,2045,0.985741
1895,2045,0.992529
1896,2045,0.93846
1897,2045,0.313765
1898,2045,0.938946
1899,2045,0.217782
1900,2045,0.664017
1901.01,2045,5.730024
1901.02,2045,5.710123
1901.03,2045,5.743995
1902,2045,0.309398
1903,2045,0.49859
1904,2045,5.710177
1905,2045,20.095048
1906.01,2045,17.168522
