Geo,Year,TotEmp,RetEmp,SvcEmp
1612,2045,244,3,47
1613,2045,77,5,42
1614,2045,200,32,29
1615,2045,217,33,99
1616,2045,57,7,27
1617,2045,149,14,76
1618,2045,664,4,351
1619,2045,96,3,55
1620,2045,45,1,26
1621,2045,124,0,31
1622,2045,88,5,48
1623,2045,129,2,121
1624,2045,370,15,275
1625,2045,331,14,246
1626,2045,274,2,72
1627,2045,1463,140,923
1628.01,2045,597,30,33
1628.02,2045,588,29,35
1628.03,2045,779,39,42
1629,2045,41,0,15
1630.01,2045,295,1,231
1630.02,2045,1092,24,629
1631,2045,1553,33,876
1632.01,2045,653,1,489
1632.02,2045,1329,3,977
1632.03,2045,1528,444,678
1632.04,2045,1132,399,402
1633,2045,4584,0,232
1634,2045,1591,560,566
1635,2045,1192,107,566
1636,2045,758,25,501
1637,2045,7947,931,2369
1638.01,2045,1643,198,363
1638.02,2045,2258,231,845
1639.01,2045,680,1,375
1639.02,2045,1007,1,555
1640,2045,1495,27,1127
1641,2045,1435,26,1081
1642,2045,5289,1374,2633
1643,2045,340,17,174
1644,2045,933,6,846
1645,2045,2864,532,1715
1646,2045,2930,106,2405
1647.01,2045,972,119,418
1647.02,2045,231,45,83
1648,2045,884,72,590
1649,2045,1433,218,206
1650,2045,5510,363,4058
1651,2045,189,5,76
1652.01,2045,652,453,167
1652.02,2045,1319,720,275
1653,2045,250,97,74
1654.01,2045,150,4,57
1654.02,2045,133,3,50
1655,2045,418,61,236
1656,2045,1242,261,512
1657,2045,1094,64,511
1658,2045,308,69,157
1659,2045,204,0,134
1660,2045,392,236,89
1661,2045,208,10,175
1662.01,2045,793,424,100
1662.02,2045,1502,74,378
1662.03,2045,117,2,106
1663,2045,839,121,245
1664,2045,68,2,46
1665.01,2045,3819,1662,1246
1665.02,2045,381,35,290
1666,2045,226,10,56
1667,2045,2819,17,2551
1668,2045,154,0,112
1669,2045,80,3,56
1670,2045,305,0,255
1671,2045,118,4,79
1672.01,2045,1180,619,181
1672.02,2045,268,137,44
1673.01,2045,289,9,166
1673.02,2045,3834,59,2282
1673.03,2045,1496,21,893
1674,2045,888,280,454
1675.01,2045,2632,36,1571
1675.02,2045,2360,33,1408
1676.01,2045,1149,16,688
1676.02,2045,1698,23,1013
1676.03,2045,2077,28,1240
1677,2045,456,68,212
1678,2045,2302,268,752
1679,2045,2440,284,797
1680,2045,326,45,134
1681,2045,4271,71,3115
1682.01,2045,786,78,310
1682.02,2045,1791,32,1300
1683,2045,2408,280,788
1684,2045,2773,318,919
1685,2045,750,24,411
1686,2045,2372,54,1363
1687,2045,77,1,32
1688.01,2045,583,63,204
1688.02,2045,5751,96,4202
1688.03,2045,2344,39,1713
1689.01,2045,562,63,194
