Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1805,2019,2,1.6,0,0.11,0,0,0
1806,2019,2,1.6,0,0.11,0,0.88,0
1807,2019,2,1.6,0,0.11,0,0.51,0
1808,2019,2,1.6,0,0.11,0,1.93,0
1809,2019,2,1.6,0,0.11,0,0,0
1810,2019,2,1.6,0,0.11,0,0.6,0
1811,2019,2,1.6,0,0.11,0,0,0
1812,2019,2,1.6,0,0.11,0,4.98,0
1813,2019,2,1.6,0,0.11,0,6.63,0
1814.01,2019,2,1.6,0,0.11,0,5.09,0
1814.02,2019,2,1.6,0,0.11,0,5.09,0
1815,2019,2,1.6,0,0.11,0,3.81,0
1816,2019,2,1.6,0,0.11,0,3.65,0
1817.01,2019,2,1.6,0,0.11,0,5.41,0
1817.02,2019,2,1.6,0,0.11,0,5.41,0
1817.03,2019,2,1.6,0,0.11,0,5.41,0
1818,2019,2,1.6,0,0.11,0,2.01,0
1819,2019,2,1.6,0,0.11,0,0,0
1820,2019,2,1.6,0,0.11,0,2,0
1821,2019,2,1.6,0,0.11,0,1.84,0
1822,2019,2,1.6,0,0.11,0,2.54,0
1823,2019,2,1.6,0,0.11,0,2.38,0
1824,2019,2,1.6,0,0.11,0,1.5,0
1825,2019,2,1.6,0,0.11,0,2.08,0
1826,2019,2,1.6,0,0.11,0,0,0
1827,2019,2,1.6,0,0.11,0,0,0
1828,2019,2,1.6,0,0.11,0,0,0
1829,2019,2,1.6,0,0.11,0,0,0
1830,2019,2,1.6,0,0.11,0,0.73,0
1831,2019,2,1.6,0,0.11,0,1.97,0
1832.01,2019,2,1.6,0,0.11,0,4.93,0
1832.02,2019,2,1.6,0,0.11,0,4.93,0
1832.03,2019,2,1.6,0,0.11,0,4.93,0
1833.01,2019,2,1.6,0,0.11,0,6.45,0
1833.02,2019,2,1.6,0,0.11,0,6.45,0
1833.03,2019,2,1.6,0,0.11,0,6.45,0
1834,2019,2,1.6,0,0.11,0,0.85,0
1835,2019,2,1.6,0,0.11,0,4.62,0
1836,2019,2,1.6,0,0.11,0,5.56,0
1837,2019,2,1.6,0,0.11,0,6.68,0
1838.01,2019,2,1.6,0,0.11,0,7.9,0
1838.02,2019,2,1.6,0,0.11,0,7.9,0
1839,2019,2,1.6,0,0.11,0,7.96,0
1840,2019,2,1.6,0,0.11,0,7.36,0
1841.01,2019,2,1.6,0,0.11,0,8.41,0
1841.02,2019,2,1.6,0,0.11,0,8.41,0
1841.03,2019,2,1.6,0,0.11,0,8.41,0
1841.04,2019,2,1.6,0,0.11,0,8.41,0
1842.01,2019,2,1.6,0,0.11,0,8.17,0
1842.02,2019,2,1.6,0,0.11,0,8.17,0
1843.01,2019,2,1.6,0,0.11,0,8,0
1843.02,2019,2,1.6,0,0.11,0,8,0
1844,2019,2,1.6,0,0.11,0,7.52,0
1845.01,2019,2,1.6,0,0.11,0,8.52,0
1845.02,2019,2,1.6,0,0.11,0,8.52,0
1845.03,2019,2,1.6,0,0.11,0,8.52,0
1846.01,2019,2,1.6,0,0.11,0,8.36,0
1846.02,2019,2,1.6,0,0.11,0,8.36,0
1847.01,2019,2,1.6,0,0.11,0,7.63,0
1847.02,2019,2,1.6,0,0.11,0,7.63,0
1848.01,2019,2,1.6,0,0.11,0,6.38,0
1848.02,2019,2,1.6,0,0.11,0,6.38,0
1849.01,2019,2,1.6,0,0.11,0,7.57,0
1849.02,2019,2,1.6,0,0.11,0,7.57,0
1850,2019,2,1.6,0,0.11,0,6.68,0
1851.01,2019,2,1.6,0,0.11,0,5.16,0
1851.02,2019,2,1.6,0,0.11,0,5.16,0
1852.01,2019,2,1.6,0,0.11,0,7.62,0
1852.02,2019,2,1.6,0,0.11,0,7.62,0
1853.01,2019,2,1.6,0,0.11,0,7.52,0
1853.02,2019,2,1.6,0,0.11,0,7.52,0
1854.01,2019,2,1.6,0,0.11,0,7.43,0
1854.02,2019,2,1.6,0,0.11,0,7.43,0
1855,2019,2,1.6,0,0.11,0,7.27,0
1856,2019,2,1.6,0,0.11,0,5.15,0
1857,2019,2,1.6,0,0.11,0,2.07,0
1858,2019,2,1.6,0,0.11,0,1.4,0
1859,2019,2,1.6,0,0.11,0,5.61,0
1860,2019,2,1.6,0,0.11,0,7.14,0
1861,2019,2,1.6,0,0.11,0,4.88,0
1862,2019,2,1.6,0,0.11,0,2.42,0
1863,2019,2,1.6,0,0.11,0,0,0
1864,2019,2,1.6,0,0.11,0,4.62,0
1865.01,2019,2,1.6,0,0.11,0,6.33,0
1865.02,2019,2,1.6,0,0.11,0,6.33,0
1865.03,2019,2,1.6,0,0.11,0,6.33,0
1865.04,2019,2,1.6,0,0.11,0,6.33,0
1866.01,2019,2,1.6,0,0.11,0,7.09,0
1866.02,2019,2,1.6,0,0.11,0,7.09,0
1866.03,2019,2,1.6,0,0.11,0,7.09,0
1867.01,2019,2,1.6,0,0.11,0,7.57,0
1867.02,2019,2,1.6,0,0.11,0,7.57,0
1868.01,2019,2,1.6,0,0.11,0,7.51,0
1868.02,2019,2,1.6,0,0.11,0,7.51,0
1868.03,2019,2,1.6,0,0.11,0,7.51,0
1869.01,2019,2,1.6,0,0.11,0,7.27,0
1869.02,2019,2,1.6,0,0.11,0,7.27,0
1870,2019,2,1.6,0,0.11,0,5.3,0
1871,2019,2,1.6,0,0.11,0,5.1,0
1872,2019,2,1.6,0,0.11,0,1.68,0
1873,2019,2,1.6,0,0.11,0,1.93,0
1874,2019,2,1.6,0,0.11,0,4.18,0
1875,2019,2,1.6,0,0.11,0,2.4,0
1876,2019,2,1.6,0,0.11,0,2.02,0
1877,2019,2,1.6,0,0.11,0,1.47,0
1878,2019,2,1.6,0,0.11,0,1.58,0
1879,2019,2,1.6,0,0.11,0,2.48,0
1880,2019,2,1.6,0,0.11,0,0,0
1881,2019,2,1.6,0,0.11,0,1.34,0
1882,2019,2,1.6,0,0.11,0,0,0
1883,2019,2,1.6,0,0.11,0,1.49,0
1884,2019,2,1.6,0,0.11,0,0,0
1885,2019,2,1.6,0,0.11,0,0,0
1886,2019,2,1.6,0,0.11,0,0,0
1887,2019,2,1.6,0,0.11,0,0,0
1888,2019,2,1.6,0,0.11,0,0,0
1889,2019,2,1.6,0,0.11,0,0,0
1890,2019,2,1.6,0,0.11,0,0,0
1891,2019,2,1.6,0,0.11,0,0,0
1892,2019,2,1.6,0,0.11,0,0,0
1893,2019,2,1.6,0,0.11,0,0,0
1894,2019,2,1.6,0,0.11,0,0,0
1895,2019,2,1.6,0,0.11,0,0,0
1896,2019,2,1.6,0,0.11,0,0,0
1897,2019,2,1.6,0,0.11,0,0,0
1898,2019,2,1.6,0,0.11,0,0,0
1899,2019,2,1.6,0,0.11,0,0,0
1900,2019,2,1.6,0,0.11,0,2.53,0
1901.01,2019,2,1.6,0,0.11,0,3.81,0
1901.02,2019,2,1.6,0,0.11,0,3.81,0
1901.03,2019,2,1.6,0,0.11,0,3.81,0
1902,2019,2,1.6,0,0.11,0,4.13,0
1903,2019,2,1.6,0,0.11,0,4.99,0
1904,2019,2,1.6,0,0.11,0,4.62,0
1905,2019,2,1.6,0,0.11,0,3.54,0
1906.01,2019,2,1.6,0,0.11,0,3.61,0
1906.02,2019,2,1.6,0,0.11,0,3.61,0
1907,2019,2,1.6,0,0.11,0,3.54,0
1908,2019,2,1.6,0,0.11,0,0.44,0
1909,2019,2,1.6,0,0.11,0,1.47,0
1910,2019,2,1.6,0,0.11,0,2.13,0
1911,2019,2,1.6,0,0.11,0,2.49,0
1912,2019,2,1.6,0,0.11,0,3.19,0
1913,2019,2,1.6,0,0.11,0,1.6,0
1914,2019,2,1.6,0,0.11,0,1.96,0
1915,2019,2,1.6,0,0.11,0,0,0
1916,2019,2,1.6,0,0.11,0,0,0
1917,2019,2,1.6,0,0.11,0,0,0
1918,2019,2,1.6,0,0.11,0,0,0
1919,2019,2,1.6,0,0.11,0,0,0
1920,2019,2,1.35,0,0.11,0,3.82,0
1921,2019,2,1.6,0,0.11,0,2.79,0
1922,2019,2,1.6,0,0.11,0,0,0
1923,2019,2,1.6,0,0.11,0,0,0
1924,2019,2,1.6,0,0.11,0,0,0
1925,2019,2,1.6,0,0.11,0,0.53,0
1926,2019,2,1.6,0,0.11,0,0,0
1927,2019,2,1.35,0,0.11,0,2.66,0
1928,2019,2,1.35,0,0.11,0,3.13,0
1929,2019,2,1.6,0,0.11,0,0,0
1930,2019,2,1.6,0,0.11,0,0,0
1931,2019,2,1.6,0,0.11,0,1.79,0
1932,2019,2,1.6,0,0.11,0,1.22,0
1933,2019,2,1.35,0,0.11,0,3.19,0
1934,2019,2,1.35,0,0.11,0,3.13,0
1935,2019,2,1.6,0,0.11,0,1.82,0
1936,2019,2,1.6,0,0.11,0,3.61,0
1937,2019,2,1.35,0,0.11,0,3.44,0
1938,2019,2,1.35,0,0.11,0,3.5,0
1939,2019,2,1.35,0,0.11,0,4.18,0
1940,2019,2,1.35,0,0.11,0,3.51,0
1941,2019,2,1.6,0,0.11,0,2.9,0
1942,2019,2,1.6,0,0.11,0,2.72,0
1943.01,2019,2,1.6,0,0.11,0,1.68,0
1943.02,2019,2,1.6,0,0.11,0,1.68,0
1943.03,2019,2,1.6,0,0.11,0,1.68,0
1944.01,2019,2,1.6,0,0.11,0,2.1,0
1944.02,2019,2,1.6,0,0.11,0,2.1,0
