Geo,Year,D3bp04
1756,2019,1.869689462
1757,2019,8.621821216
1758,2019,3.766791938
1759,2019,4.170251708
1760,2019,5.549481906
1761,2019,13.81506219
1762,2019,7.943634471
1763,2019,0.783684612
1764,2019,1.992194365
1765,2019,1.891704226
1766,2019,3.120093067
1767,2019,10.12800288
1768,2019,12.04692979
1769,2019,8.776676417
1770.01,2019,1.755551457
1770.02,2019,2.043433312
1771,2019,0.688427621
1772,2019,3.439206085
1773,2019,1.892801811
1774,2019,1.732883841
1775,2019,2.898828855
1776,2019,2.558582526
1777,2019,0.064096677
1778,2019,6.166851583
1779,2019,13.0085994
1780,2019,1.374348167
1781,2019,1.69866942
1782,2019,1.682247849
1783,2019,1.820696073
1784,2019,1.126375232
1785,2019,5.867704679
1786,2019,11.42855877
1787,2019,11.5149817
1788,2019,2.17906517
1789,2019,3.962556055
1790,2019,19.57362313
1791,2019,7.930434322
1792,2019,3.759209684
1793.01,2019,8.1
1793.02,2019,8.099637861
1794,2019,5.541227586
1795,2019,13.56504718
1796.01,2019,6.510107779
1796.02,2019,15.94999706
1796.03,2019,12.0535678
1797.01,2019,16.89
1797.02,2019,16.97031889
1797.03,2019,16.38496496
1798.01,2019,13.81614786
1798.02,2019,18.00501489
1798.03,2019,2.837140828
1798.04,2019,2.342505122
1799,2019,3.595298047
1800.01,2019,8.12968844
1800.02,2019,18.0117679
1800.03,2019,5.463433678
1800.04,2019,2.171840533
1800.05,2019,2.441269223
1800.06,2019,6.445223702
1801,2019,3.930771462
1802,2019,25.76535654
1803,2019,9.022856365
1804,2019,8.634054238
1805,2019,20.4992373
1806,2019,18.84561727
1807,2019,10.42525129
1808,2019,8.948741201
1809,2019,11.91461964
1810,2019,18.57491114
1811,2019,3.069099125
1812,2019,10.23201261
1813,2019,10.44041644
1814.01,2019,4.087735516
1814.02,2019,11.52181338
1815,2019,24.50984866
1816,2019,9.378101007
1817.01,2019,4
1817.02,2019,3.97886785
1817.03,2019,4
1818,2019,9.077882796
1819,2019,12.45261357
1820,2019,10.33224653
1821,2019,18.83875397
1822,2019,9.97908882
1823,2019,18.86584634
1824,2019,19.19644959
1825,2019,9.567174199
1826,2019,2.824377152
1827,2019,10.49779704
1828,2019,2.335313504
1829,2019,2.345887202
1830,2019,9.293950359
1831,2019,5.867661101
1832.01,2019,4.633688519
1832.02,2019,6.200228728
1832.03,2019,6.686784663
1833.01,2019,1.211984066
1833.02,2019,1.209741364
1833.03,2019,1.184392472
1834,2019,1.211611163
1835,2019,1.212307074
1836,2019,5.075829107
1837,2019,3.399761163
1838.01,2019,3.239623822
1838.02,2019,3.406665508
1839,2019,7.029226323
1840,2019,3.414804153
1841.01,2019,7.004537911
1841.02,2019,6.946330231
1841.03,2019,7.235971886
1841.04,2019,7.038986559
1842.01,2019,7.27
1842.02,2019,7.27
1843.01,2019,7.269405911
1843.02,2019,7.272754984
1844,2019,7.27
1845.01,2019,7.06959234
1845.02,2019,7.038991333
1845.03,2019,7.27
